Scaffold ID Short,Scaffold ID
Ga0508133_018164,3300049256 assembled Ga0508132_00027
Ga0508133_018164,3300049256 assembled Ga0508132_00105
Ga0508133_018164,3300049256 assembled Ga0508132_00294
Ga0508133_018164,3300049256 assembled Ga0508132_00453
Ga0508133_018164,3300049256 assembled Ga0508132_00638
Ga0508133_018164,3300049256 assembled Ga0508132_08645
Ga0508133_018164,3300049257 assembled Ga0508133_018164
Ga0508133_018164,3300049257 assembled Ga0508133_020136
Ga0508133_018164,3300049257 assembled Ga0508133_038554
Ga0508133_018164,3300049257 assembled Ga0508133_051516
Ga0508133_018164,3300049257 assembled Ga0508133_057157
Ga0508133_018164,3300049257 assembled Ga0508133_096294
Ga0508133_018164,3300049257 assembled Ga0508133_100080
Ga0508133_020136,3300049256 assembled Ga0508132_00027
Ga0508133_020136,3300049256 assembled Ga0508132_00105
Ga0508133_020136,3300049256 assembled Ga0508132_00294
Ga0508133_020136,3300049256 assembled Ga0508132_00453
Ga0508133_020136,3300049256 assembled Ga0508132_00638
Ga0508133_020136,3300049256 assembled Ga0508132_08645
Ga0508133_020136,3300049257 assembled Ga0508133_018164
Ga0508133_020136,3300049257 assembled Ga0508133_020136
Ga0508133_020136,3300049257 assembled Ga0508133_038554
Ga0508133_020136,3300049257 assembled Ga0508133_051516
Ga0508133_020136,3300049257 assembled Ga0508133_057157
Ga0508133_020136,3300049257 assembled Ga0508133_096294
Ga0508133_020136,3300049257 assembled Ga0508133_100080
Ga0508133_038554,3300049256 assembled Ga0508132_00027
Ga0508133_038554,3300049256 assembled Ga0508132_00105
Ga0508133_038554,3300049256 assembled Ga0508132_00294
Ga0508133_038554,3300049256 assembled Ga0508132_00453
Ga0508133_038554,3300049256 assembled Ga0508132_00638
Ga0508133_038554,3300049256 assembled Ga0508132_08645
Ga0508133_038554,3300049257 assembled Ga0508133_018164
Ga0508133_038554,3300049257 assembled Ga0508133_020136
Ga0508133_038554,3300049257 assembled Ga0508133_038554
Ga0508133_038554,3300049257 assembled Ga0508133_051516
Ga0508133_038554,3300049257 assembled Ga0508133_057157
Ga0508133_038554,3300049257 assembled Ga0508133_096294
Ga0508133_038554,3300049257 assembled Ga0508133_100080
Ga0508133_051516,3300049256 assembled Ga0508132_00027
Ga0508133_051516,3300049256 assembled Ga0508132_00105
Ga0508133_051516,3300049256 assembled Ga0508132_00294
Ga0508133_051516,3300049256 assembled Ga0508132_00453
Ga0508133_051516,3300049256 assembled Ga0508132_00638
Ga0508133_051516,3300049256 assembled Ga0508132_08645
Ga0508133_051516,3300049257 assembled Ga0508133_018164
Ga0508133_051516,3300049257 assembled Ga0508133_020136
Ga0508133_051516,3300049257 assembled Ga0508133_038554
Ga0508133_051516,3300049257 assembled Ga0508133_051516
Ga0508133_051516,3300049257 assembled Ga0508133_057157
Ga0508133_051516,3300049257 assembled Ga0508133_096294
Ga0508133_051516,3300049257 assembled Ga0508133_100080
Ga0508133_057157,3300049256 assembled Ga0508132_00027
Ga0508133_057157,3300049256 assembled Ga0508132_00105
Ga0508133_057157,3300049256 assembled Ga0508132_00294
Ga0508133_057157,3300049256 assembled Ga0508132_00453
Ga0508133_057157,3300049256 assembled Ga0508132_00638
Ga0508133_057157,3300049256 assembled Ga0508132_08645
Ga0508133_057157,3300049257 assembled Ga0508133_018164
Ga0508133_057157,3300049257 assembled Ga0508133_020136
Ga0508133_057157,3300049257 assembled Ga0508133_038554
Ga0508133_057157,3300049257 assembled Ga0508133_051516
Ga0508133_057157,3300049257 assembled Ga0508133_057157
Ga0508133_057157,3300049257 assembled Ga0508133_096294
Ga0508133_057157,3300049257 assembled Ga0508133_100080
Ga0508133_096294,3300049256 assembled Ga0508132_00027
Ga0508133_096294,3300049256 assembled Ga0508132_00105
Ga0508133_096294,3300049256 assembled Ga0508132_00294
Ga0508133_096294,3300049256 assembled Ga0508132_00453
Ga0508133_096294,3300049256 assembled Ga0508132_00638
Ga0508133_096294,3300049256 assembled Ga0508132_08645
Ga0508133_096294,3300049257 assembled Ga0508133_018164
Ga0508133_096294,3300049257 assembled Ga0508133_020136
Ga0508133_096294,3300049257 assembled Ga0508133_038554
Ga0508133_096294,3300049257 assembled Ga0508133_051516
Ga0508133_096294,3300049257 assembled Ga0508133_057157
Ga0508133_096294,3300049257 assembled Ga0508133_096294
Ga0508133_096294,3300049257 assembled Ga0508133_100080
Ga0508133_100080,3300049256 assembled Ga0508132_00027
Ga0508133_100080,3300049256 assembled Ga0508132_00105
Ga0508133_100080,3300049256 assembled Ga0508132_00294
Ga0508133_100080,3300049256 assembled Ga0508132_00453
Ga0508133_100080,3300049256 assembled Ga0508132_00638
Ga0508133_100080,3300049256 assembled Ga0508132_08645
Ga0508133_100080,3300049257 assembled Ga0508133_018164
Ga0508133_100080,3300049257 assembled Ga0508133_020136
Ga0508133_100080,3300049257 assembled Ga0508133_038554
Ga0508133_100080,3300049257 assembled Ga0508133_051516
Ga0508133_100080,3300049257 assembled Ga0508133_057157
Ga0508133_100080,3300049257 assembled Ga0508133_096294
Ga0508133_100080,3300049257 assembled Ga0508133_100080
