Scaffold ID,Scaffold Original ID,Scaffold Name,IMG Genome ID (IMG Taxon ID),Genome Name / Sample Name,Scaffold Topology,NCBI Molecular Type,Scaffold Gene Count,Scaffold Nucleotide Length (bp),Scaffold GC Content,Scaffold Read Depth,Lineage,Lineage Percentage,In MetaBAT Bins,In EukCC Bins
3300049256 assembled Ga0508132_00027,NODE_27_length_89201_cov_10.757248,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,94,89201,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae,68,,
3300049256 assembled Ga0508132_00105,NODE_105_length_38781_cov_7.364458,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,40,38781,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium,85,,
3300049256 assembled Ga0508132_00294,NODE_294_length_19562_cov_456.654863,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,22,19562,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,95,,
3300049256 assembled Ga0508132_00453,NODE_453_length_14383_cov_11.294003,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,14,14383,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas,93,,
3300049256 assembled Ga0508132_00638,NODE_638_length_11003_cov_6.163372,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,10,11003,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium udaipurense,50,,
3300049256 assembled Ga0508132_04434,NODE_4434_length_1462_cov_2.420217,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,2,1462,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Shinella; Shinella sp. HZN7,100,,
3300049256 assembled Ga0508132_06102,NODE_6102_length_1141_cov_1.637218,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,1141,0.62,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium selenitireducens,100,,
3300049256 assembled Ga0508132_08645,NODE_8645_length_898_cov_2.183922,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,3,898,0.66,1,,,,
3300049256 assembled Ga0508132_11973,NODE_11973_length_741_cov_1.945783,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,741,0.7,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Shinella; Shinella sp. DD12,100,,
3300049256 assembled Ga0508132_18832,NODE_18832_length_584_cov_0.899408,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,584,0.68,1,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas acidaminiphila,100,,
3300049256 assembled Ga0508132_21947,NODE_21947_length_540_cov_1.799136,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,2,540,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Pleomorphomonadaceae; Pleomorphomonas; uncultured Pleomorphomonas sp.,100,,
3300049256 assembled Ga0508132_25559,NODE_25559_length_500_cov_1.453901,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,500,0.6,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium selenitireducens,100,,
3300049256 assembled Ga0508132_27277,NODE_27277_length_483_cov_1.278325,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,2,483,0.6,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium selenitireducens,100,,
3300049256 assembled Ga0508132_27805,NODE_27805_length_478_cov_1.660848,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,478,0.71,1,Bacteria; Actinobacteria; Thermoleophilia; Solirubrobacterales; Conexibacteraceae; Conexibacter; Conexibacter woesei,100,,
3300049256 assembled Ga0508132_31097,NODE_31097_length_455_cov_0.910053,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,2,455,0.66,1,Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales,100,,
3300049256 assembled Ga0508132_36375,NODE_36375_length_428_cov_0.968661,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,428,0.67,1,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Thermomonas; Thermomonas fusca,100,,
3300049256 assembled Ga0508132_45498,NODE_45498_length_394_cov_3.012618,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,394,0.69,1,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Lysobacter; Lysobacter gummosus,100,,
3300049256 assembled Ga0508132_46801,NODE_46801_length_390_cov_2.035144,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,390,0.58,1,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Candidatus Koribacter; Candidatus Koribacter versatilis,100,,
3300049256 assembled Ga0508132_56069,NODE_56069_length_364_cov_1.059233,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,364,0.66,1,,,,
3300049256 assembled Ga0508132_65216,NODE_65216_length_340_cov_1.673004,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,340,0.7,1,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Lysobacter; Lysobacter antibioticus,100,,
3300049257 assembled Ga0508133_001146,k141_61489,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,308,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Shinella; Shinella sp. HZN7,100,,
