Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,Gene Symbol,GenBank Accession,Chromosome,Start Coord,End Coord,Strand,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Locus Type,Is Pseudogene,Is Partial Gene,Add Date,Is Public,Sequencing Status,Transmembrane Helices,Signal Peptides,Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,Pfam,Tigrfam,SMART,SUPERFam,CATH FunFam,Enzyme,KO,IMG Term,MyIMG (self),MyIMG (group),MyIMG (public)
3300049256 assembled Ga0508132_00105_5265_6572,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,5265,6572,-,1308,435,CDS,,,,No,Draft,,,Ga0508132_00105,,Ga0508132_00105,38781,0.64,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_36375_3_428,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,3,428,#ERROR!,426,142,CDS,,,,No,Draft,,,Ga0508132_36375,,Ga0508132_36375,428,0.67,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_46801_2_343,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,2,343,-,342,114,CDS,,,,No,Draft,,,Ga0508132_46801,,Ga0508132_46801,390,0.58,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_062451_2_223,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,2,223,-,222,74,CDS,,,,No,Draft,,,Ga0508133_062451,,Ga0508133_062451,285,0.61,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049256 assembled Ga0508132_25559_220_498,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,220,498,#ERROR!,279,93,CDS,,,,No,Draft,,,Ga0508132_25559,,Ga0508132_25559,500,0.6,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_012051_1_216,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,1,216,-,216,72,CDS,,,,No,Draft,,,Ga0508133_012051,,Ga0508133_012051,225,0.68,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_084544_20_154,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,20,154,#ERROR!,135,44,CDS,,,,No,Draft,,,Ga0508133_084544,,Ga0508133_084544,271,0.58,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,,,,,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_08645_531_896,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,531,896,-,366,121,CDS,,,,No,Draft,,,Ga0508132_08645,,Ga0508132_08645,898,0.66,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_066270_576_1340,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,576,1340,-,765,254,CDS,,,,No,Draft,,,Ga0508133_066270,,Ga0508133_066270,1341,0.66,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049256 assembled Ga0508132_21947_427_540,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,427,540,-,114,37,CDS,,,,No,Draft,,,Ga0508132_21947,,Ga0508132_21947,540,0.63,1,,,,,,,,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
