Scaffold ID,Scaffold Original ID,Scaffold Name,IMG Genome ID (IMG Taxon ID),Genome Name / Sample Name,Scaffold Topology,NCBI Molecular Type,Scaffold Gene Count,Scaffold Nucleotide Length (bp),Scaffold GC Content,Scaffold Read Depth,Lineage,Lineage Percentage,In MetaBAT Bins,In EukCC Bins
3300049256 assembled Ga0508132_00002,NODE_2_length_538500_cov_15.774638,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,578,538500,0.47,1,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae,76,,
3300049257 assembled Ga0508133_025105,k141_14419,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,520,475970,0.47,1,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae,77,,
3300049256 assembled Ga0508132_00004,NODE_4_length_369708_cov_17.922696,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,382,369708,0.45,1,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae,70,,
3300049257 assembled Ga0508133_080440,k141_32076,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,99,95999,0.67,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,68,,
3300049256 assembled Ga0508132_00028,NODE_28_length_88537_cov_7.216686,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,84,88537,0.61,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium,75,,
3300049257 assembled Ga0508133_030819,k141_118181,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,79,77822,0.44,1,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae,77,,
3300049256 assembled Ga0508132_00042,NODE_42_length_66655_cov_10.766304,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,75,66655,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,57,,
3300049257 assembled Ga0508133_075422,k141_4547,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,75,66655,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,57,,
3300049257 assembled Ga0508133_077071,k141_53216,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,74,76655,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,59,,
3300049256 assembled Ga0508132_00033,NODE_33_length_79447_cov_7.723094,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,69,79447,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii,55,,
