Gene ID,Scaffold ID,Scaffold Gene Count,Lineage
Ga0508132_00002_338511_339143,Ga0508132_00002,578,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae
Ga0508132_00002_340760_342142,Ga0508132_00002,578,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae
Ga0508132_00002_342132_343496,Ga0508132_00002,578,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae
Ga0508132_00002_343537_344925,Ga0508132_00002,578,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae
Ga0508132_00002_344927_346540,Ga0508132_00002,578,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae
Ga0508132_00002_347344_348171,Ga0508132_00002,578,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae
Ga0508132_00004_32348_33643,Ga0508132_00004,382,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae
Ga0508132_00004_33694_35184,Ga0508132_00004,382,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae
Ga0508132_00004_47197_48072,Ga0508132_00004,382,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae
Ga0508132_00028_19260_20021,Ga0508132_00028,84,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium
Ga0508132_00028_20152_21540,Ga0508132_00028,84,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium
Ga0508132_00028_21558_21908,Ga0508132_00028,84,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium
Ga0508132_00028_21924_23495,Ga0508132_00028,84,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium
Ga0508132_00028_23657_24484,Ga0508132_00028,84,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium
Ga0508132_00042_32522_32950,Ga0508132_00042,75,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00033_3185_4570,Ga0508132_00033,69,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00033_4582_6111,Ga0508132_00033,69,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00033_6121_7650,Ga0508132_00033,69,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00033_7687_8541,Ga0508132_00033,69,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00043_14067_15446,Ga0508132_00043,68,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00043_15449_16834,Ga0508132_00043,68,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00043_20948_22360,Ga0508132_00043,68,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00043_22363_22698,Ga0508132_00043,68,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00043_22802_24190,Ga0508132_00043,68,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00045_33456_33839,Ga0508132_00045,68,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00045_39973_41346,Ga0508132_00045,68,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00045_41357_42823,Ga0508132_00045,68,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00045_42875_44452,Ga0508132_00045,68,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00045_44513_45976,Ga0508132_00045,68,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00045_46046_46936,Ga0508132_00045,68,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00067_44932_46302,Ga0508132_00067,44,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium
Ga0508132_00067_46318_47823,Ga0508132_00067,44,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium
Ga0508132_00087_11945_12286,Ga0508132_00087,41,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00189_22627_22947,Ga0508132_00189,25,Bacteria; Proteobacteria; Alphaproteobacteria
Ga0508132_00224_11483_11878,Ga0508132_00224,25,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00218_1634_3013,Ga0508132_00218,23,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium
Ga0508132_00218_3018_4544,Ga0508132_00218,23,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium
Ga0508132_00218_304_1632,Ga0508132_00218,23,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium
