Gene ID,Scaffold ID,Scaffold Gene Count,Lineage
Ga0508132_00003_30487_31608,Ga0508132_00003,580,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae
Ga0508132_00006_261919_262092,Ga0508132_00006,259,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium
Ga0508132_00011_62528_63343,Ga0508132_00011,177,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae
Ga0508132_00015_93761_95485,Ga0508132_00015,116,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium
Ga0508132_00022_14384_15604,Ga0508132_00022,102,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium
Ga0508132_00028_10077_11996,Ga0508132_00028,84,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium
Ga0508132_00033_47214_47912,Ga0508132_00033,69,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00075_12782_14596,Ga0508132_00075,47,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00127_2423_4228,Ga0508132_00127,35,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00162_9377_9940,Ga0508132_00162,31,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium
Ga0508132_00167_15598_16254,Ga0508132_00167,28,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00580_3_1400,Ga0508132_00580,11,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00782_2458_3048,Ga0508132_00782,9,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00875_7519_8055,Ga0508132_00875,11,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium; Rhizomicrobium sp. SG733
Ga0508132_01496_117_1922,Ga0508132_01496,5,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_03257_979_1824,Ga0508132_03257,3,Bacteria; Acidobacteria; Holophagae; Holophagales; Holophagaceae; Geothrix; Geothrix fermentans
