Scaffold ID Short,Scaffold ID
Ga0508133_018164,3300049256 assembled Ga0508132_00001
Ga0508133_018164,3300049256 assembled Ga0508132_00007
Ga0508133_018164,3300049256 assembled Ga0508132_00022
Ga0508133_018164,3300049256 assembled Ga0508132_00027
Ga0508133_018164,3300049256 assembled Ga0508132_00105
Ga0508133_018164,3300049256 assembled Ga0508132_00290
Ga0508133_018164,3300049256 assembled Ga0508132_00294
Ga0508133_018164,3300049256 assembled Ga0508132_00453
Ga0508133_018164,3300049256 assembled Ga0508132_00638
Ga0508133_018164,3300049256 assembled Ga0508132_00875
Ga0508133_018164,3300049256 assembled Ga0508132_03257
Ga0508133_018164,3300049256 assembled Ga0508132_08645
Ga0508133_018164,3300049257 assembled Ga0508133_018164
Ga0508133_018164,3300049257 assembled Ga0508133_020136
Ga0508133_018164,3300049257 assembled Ga0508133_020762
Ga0508133_018164,3300049257 assembled Ga0508133_023728
Ga0508133_018164,3300049257 assembled Ga0508133_027599
Ga0508133_018164,3300049257 assembled Ga0508133_031629
Ga0508133_018164,3300049257 assembled Ga0508133_038554
Ga0508133_018164,3300049257 assembled Ga0508133_051516
Ga0508133_018164,3300049257 assembled Ga0508133_057157
Ga0508133_018164,3300049257 assembled Ga0508133_059904
Ga0508133_018164,3300049257 assembled Ga0508133_087240
Ga0508133_018164,3300049257 assembled Ga0508133_096294
Ga0508133_018164,3300049257 assembled Ga0508133_100080
Ga0508133_020136,3300049256 assembled Ga0508132_00001
Ga0508133_020136,3300049256 assembled Ga0508132_00007
Ga0508133_020136,3300049256 assembled Ga0508132_00022
Ga0508133_020136,3300049256 assembled Ga0508132_00027
Ga0508133_020136,3300049256 assembled Ga0508132_00105
Ga0508133_020136,3300049256 assembled Ga0508132_00290
Ga0508133_020136,3300049256 assembled Ga0508132_00294
Ga0508133_020136,3300049256 assembled Ga0508132_00453
Ga0508133_020136,3300049256 assembled Ga0508132_00638
Ga0508133_020136,3300049256 assembled Ga0508132_00875
Ga0508133_020136,3300049256 assembled Ga0508132_03257
Ga0508133_020136,3300049256 assembled Ga0508132_08645
Ga0508133_020136,3300049257 assembled Ga0508133_018164
Ga0508133_020136,3300049257 assembled Ga0508133_020136
Ga0508133_020136,3300049257 assembled Ga0508133_020762
Ga0508133_020136,3300049257 assembled Ga0508133_023728
Ga0508133_020136,3300049257 assembled Ga0508133_027599
Ga0508133_020136,3300049257 assembled Ga0508133_031629
Ga0508133_020136,3300049257 assembled Ga0508133_038554
Ga0508133_020136,3300049257 assembled Ga0508133_051516
Ga0508133_020136,3300049257 assembled Ga0508133_057157
Ga0508133_020136,3300049257 assembled Ga0508133_059904
Ga0508133_020136,3300049257 assembled Ga0508133_087240
Ga0508133_020136,3300049257 assembled Ga0508133_096294
Ga0508133_020136,3300049257 assembled Ga0508133_100080
Ga0508133_020762,3300049256 assembled Ga0508132_00001
Ga0508133_020762,3300049256 assembled Ga0508132_00007
Ga0508133_020762,3300049256 assembled Ga0508132_00022
Ga0508133_020762,3300049256 assembled Ga0508132_00027
Ga0508133_020762,3300049256 assembled Ga0508132_00105
Ga0508133_020762,3300049256 assembled Ga0508132_00290
Ga0508133_020762,3300049256 assembled Ga0508132_00294
Ga0508133_020762,3300049256 assembled Ga0508132_00453
Ga0508133_020762,3300049256 assembled Ga0508132_00638
Ga0508133_020762,3300049256 assembled Ga0508132_00875
Ga0508133_020762,3300049256 assembled Ga0508132_03257
Ga0508133_020762,3300049256 assembled Ga0508132_08645
Ga0508133_020762,3300049257 assembled Ga0508133_018164
Ga0508133_020762,3300049257 assembled Ga0508133_020136
Ga0508133_020762,3300049257 assembled Ga0508133_020762
Ga0508133_020762,3300049257 assembled Ga0508133_023728
Ga0508133_020762,3300049257 assembled Ga0508133_027599
Ga0508133_020762,3300049257 assembled Ga0508133_031629
Ga0508133_020762,3300049257 assembled Ga0508133_038554
Ga0508133_020762,3300049257 assembled Ga0508133_051516
Ga0508133_020762,3300049257 assembled Ga0508133_057157
Ga0508133_020762,3300049257 assembled Ga0508133_059904
Ga0508133_020762,3300049257 assembled Ga0508133_087240
Ga0508133_020762,3300049257 assembled Ga0508133_096294
Ga0508133_020762,3300049257 assembled Ga0508133_100080
Ga0508133_023728,3300049256 assembled Ga0508132_00001
Ga0508133_023728,3300049256 assembled Ga0508132_00007
Ga0508133_023728,3300049256 assembled Ga0508132_00022
Ga0508133_023728,3300049256 assembled Ga0508132_00027
Ga0508133_023728,3300049256 assembled Ga0508132_00105
Ga0508133_023728,3300049256 assembled Ga0508132_00290
Ga0508133_023728,3300049256 assembled Ga0508132_00294
Ga0508133_023728,3300049256 assembled Ga0508132_00453
Ga0508133_023728,3300049256 assembled Ga0508132_00638
Ga0508133_023728,3300049256 assembled Ga0508132_00875
Ga0508133_023728,3300049256 assembled Ga0508132_03257
Ga0508133_023728,3300049256 assembled Ga0508132_08645
Ga0508133_023728,3300049257 assembled Ga0508133_018164
Ga0508133_023728,3300049257 assembled Ga0508133_020136
Ga0508133_023728,3300049257 assembled Ga0508133_020762
Ga0508133_023728,3300049257 assembled Ga0508133_023728
Ga0508133_023728,3300049257 assembled Ga0508133_027599
Ga0508133_023728,3300049257 assembled Ga0508133_031629
Ga0508133_023728,3300049257 assembled Ga0508133_038554
Ga0508133_023728,3300049257 assembled Ga0508133_051516
Ga0508133_023728,3300049257 assembled Ga0508133_057157
Ga0508133_023728,3300049257 assembled Ga0508133_059904
Ga0508133_023728,3300049257 assembled Ga0508133_087240
Ga0508133_023728,3300049257 assembled Ga0508133_096294
Ga0508133_023728,3300049257 assembled Ga0508133_100080
Ga0508133_027599,3300049256 assembled Ga0508132_00001
Ga0508133_027599,3300049256 assembled Ga0508132_00007
Ga0508133_027599,3300049256 assembled Ga0508132_00022
Ga0508133_027599,3300049256 assembled Ga0508132_00027
Ga0508133_027599,3300049256 assembled Ga0508132_00105
Ga0508133_027599,3300049256 assembled Ga0508132_00290
Ga0508133_027599,3300049256 assembled Ga0508132_00294
Ga0508133_027599,3300049256 assembled Ga0508132_00453
Ga0508133_027599,3300049256 assembled Ga0508132_00638
Ga0508133_027599,3300049256 assembled Ga0508132_00875
Ga0508133_027599,3300049256 assembled Ga0508132_03257
Ga0508133_027599,3300049256 assembled Ga0508132_08645
Ga0508133_027599,3300049257 assembled Ga0508133_018164
Ga0508133_027599,3300049257 assembled Ga0508133_020136
Ga0508133_027599,3300049257 assembled Ga0508133_020762
Ga0508133_027599,3300049257 assembled Ga0508133_023728
Ga0508133_027599,3300049257 assembled Ga0508133_027599
Ga0508133_027599,3300049257 assembled Ga0508133_031629
Ga0508133_027599,3300049257 assembled Ga0508133_038554
Ga0508133_027599,3300049257 assembled Ga0508133_051516
Ga0508133_027599,3300049257 assembled Ga0508133_057157
Ga0508133_027599,3300049257 assembled Ga0508133_059904
Ga0508133_027599,3300049257 assembled Ga0508133_087240
Ga0508133_027599,3300049257 assembled Ga0508133_096294
Ga0508133_027599,3300049257 assembled Ga0508133_100080
Ga0508133_031629,3300049256 assembled Ga0508132_00001
Ga0508133_031629,3300049256 assembled Ga0508132_00007
Ga0508133_031629,3300049256 assembled Ga0508132_00022
Ga0508133_031629,3300049256 assembled Ga0508132_00027
Ga0508133_031629,3300049256 assembled Ga0508132_00105
Ga0508133_031629,3300049256 assembled Ga0508132_00290
Ga0508133_031629,3300049256 assembled Ga0508132_00294
Ga0508133_031629,3300049256 assembled Ga0508132_00453
Ga0508133_031629,3300049256 assembled Ga0508132_00638
Ga0508133_031629,3300049256 assembled Ga0508132_00875
Ga0508133_031629,3300049256 assembled Ga0508132_03257
Ga0508133_031629,3300049256 assembled Ga0508132_08645
Ga0508133_031629,3300049257 assembled Ga0508133_018164
Ga0508133_031629,3300049257 assembled Ga0508133_020136
Ga0508133_031629,3300049257 assembled Ga0508133_020762
Ga0508133_031629,3300049257 assembled Ga0508133_023728
Ga0508133_031629,3300049257 assembled Ga0508133_027599
Ga0508133_031629,3300049257 assembled Ga0508133_031629
Ga0508133_031629,3300049257 assembled Ga0508133_038554
Ga0508133_031629,3300049257 assembled Ga0508133_051516
Ga0508133_031629,3300049257 assembled Ga0508133_057157
Ga0508133_031629,3300049257 assembled Ga0508133_059904
Ga0508133_031629,3300049257 assembled Ga0508133_087240
Ga0508133_031629,3300049257 assembled Ga0508133_096294
Ga0508133_031629,3300049257 assembled Ga0508133_100080
Ga0508133_038554,3300049256 assembled Ga0508132_00001
Ga0508133_038554,3300049256 assembled Ga0508132_00007
