Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300049256 assembled Ga0508132_00001_100768_101706	CDS	null	rfaE bifunctional protein kinase chain/domain	100768	101706	+	
3300049256 assembled Ga0508132_00001_101693_102181	CDS	null	rfaE bifunctional protein nucleotidyltransferase chain/domain	101693	102181	+	
3300049256 assembled Ga0508132_00001_102168_103211	CDS	null	heptosyltransferase-1	102168	103211	+	
3300049256 assembled Ga0508132_00001_10306_11166	CDS	null	release factor glutamine methyltransferase	10306	11166	+	
3300049256 assembled Ga0508132_00001_103201_104220	CDS	null	predicted lipopolysaccharide heptosyltransferase III	103201	104220	+	
3300049256 assembled Ga0508132_00001_104239_104997	CDS	null	glycosyltransferase involved in cell wall biosynthesis	104239	104997	+	
3300049256 assembled Ga0508132_00001_105045_105623	CDS	null	D-sedoheptulose 7-phosphate isomerase	105045	105623	+	
3300049256 assembled Ga0508132_00001_105616_106632	CDS	null	D-beta-D-heptose 7-phosphate kinase/D-beta-D-heptose 1-phosphate adenosyltransferase	105616	106632	+	
3300049256 assembled Ga0508132_00001_106629_107600	CDS	null	ADP-L-glycero-D-manno-heptose 6-epimerase	106629	107600	+	
3300049256 assembled Ga0508132_00001_107670_109217	CDS	null	lipopolysaccharide heptosyltransferase II	107670	109217	+	
3300049256 assembled Ga0508132_00001_109551_110792	CDS	null	O-antigen ligase	109551	110792	+	
3300049256 assembled Ga0508132_00001_111099_112484	CDS	null	undecaprenyl-phosphate galactose phosphotransferase	111099	112484	+	
3300049256 assembled Ga0508132_00001_11171_12220	CDS	null	L-threonylcarbamoyladenylate synthase	11171	12220	+	
3300049256 assembled Ga0508132_00001_112954_114003	CDS	null	lipopolysaccharide heptosyltransferase II	112954	114003	+	
3300049256 assembled Ga0508132_00001_114729_115613	CDS	null	glucose-1-phosphate thymidylyltransferase	114729	115613	+	
3300049256 assembled Ga0508132_00001_115613_116068	CDS	null	dTDP-4-dehydrorhamnose 3,5-epimerase	115613	116068	+	
3300049256 assembled Ga0508132_00001_116070_117134	CDS	null	dTDP-glucose 4,6-dehydratase	116070	117134	+	
3300049256 assembled Ga0508132_00001_117154_117651	CDS	null	RimJ/RimL family protein N-acetyltransferase	117154	117651	+	
3300049256 assembled Ga0508132_00001_117703_119832	CDS	null	glycosyltransferase involved in cell wall biosynthesis	117703	119832	+	
3300049256 assembled Ga0508132_00001_119861_120670	CDS	null	lipopolysaccharide transport system permease protein/teichoic acid transport system permease protein	119861	120670	+	
3300049256 assembled Ga0508132_00001_120687_121988	CDS	null	lipopolysaccharide transport system ATP-binding protein	120687	121988	+	
3300049256 assembled Ga0508132_00001_122063_123025	CDS	null	tetratricopeptide (TPR) repeat protein	122063	123025	+	
3300049256 assembled Ga0508132_00001_123090_124238	CDS	null	dTDP-4-amino-4,6-dideoxygalactose transaminase	123090	124238	+	
3300049256 assembled Ga0508132_00001_124295_124999	CDS	null	hypothetical protein	124295	124999	+	
3300049256 assembled Ga0508132_00001_12445_13518	CDS	null	HD-GYP domain-containing protein (c-di-GMP phosphodiesterase class II)	12445	13518	+	
3300049256 assembled Ga0508132_00001_124996_125637	CDS	null	SAM-dependent methyltransferase	124996	125637	+	
3300049256 assembled Ga0508132_00001_125652_126308	CDS	null	sugar O-acyltransferase (sialic acid O-acetyltransferase NeuD family)	125652	126308	+	
3300049256 assembled Ga0508132_00001_126248_127267	CDS	null	hypothetical protein	126248	127267	+	
3300049256 assembled Ga0508132_00001_127299_128384	CDS	null	glycosyltransferase involved in cell wall biosynthesis	127299	128384	+	
3300049256 assembled Ga0508132_00001_128338_129513	CDS	null	dTDP-4-amino-4,6-dideoxygalactose transaminase	128338	129513	+	
3300049256 assembled Ga0508132_00001_129523_130557	CDS	null	UDP-glucose 4-epimerase	129523	130557	+	
3300049256 assembled Ga0508132_00001_130563_134297	CDS	null	glycosyltransferase involved in cell wall biosynthesis	130563	134297	+	
3300049256 assembled Ga0508132_00001_134461_135228	CDS	null	dTDP-4-dehydrorhamnose reductase	134461	135228	+	
3300049256 assembled Ga0508132_00001_135225_136112	CDS	null	rhamnosyltransferase	135225	136112	+	
3300049256 assembled Ga0508132_00001_13572_14246	CDS	null	uncharacterized membrane protein YdjX (TVP38/TMEM64 family)	13572	14246	+	
3300049256 assembled Ga0508132_00001_136139_137377	CDS	null	hypothetical protein	136139	137377	+	
3300049256 assembled Ga0508132_00001_137364_138449	CDS	null	glycosyltransferase involved in cell wall biosynthesis	137364	138449	+	
3300049256 assembled Ga0508132_00001_138446_139558	CDS	null	glycosyltransferase involved in cell wall biosynthesis	138446	139558	+	
3300049256 assembled Ga0508132_00001_139737_141953	CDS	null	serralysin	139737	141953	+	
3300049256 assembled Ga0508132_00001_142198_144636	CDS	null	Tol biopolymer transport system component	142198	144636	+	
3300049256 assembled Ga0508132_00001_14414_15277	CDS	null	DNA-binding NarL/FixJ family response regulator	14414	15277	+	
3300049256 assembled Ga0508132_00001_144837_146960	CDS	null	subfamily B ATP-binding cassette protein HlyB/CyaB	144837	146960	+	
3300049256 assembled Ga0508132_00001_146920_148314	CDS	null	hemolysin D	146920	148314	+	
3300049256 assembled Ga0508132_00001_148441_149823	CDS	null	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	148441	149823	+	
3300049256 assembled Ga0508132_00001_149846_151249	CDS	null	alpha-D-glucose phosphate-specific phosphoglucomutase	149846	151249	+	
3300049256 assembled Ga0508132_00001_151233_152168	CDS	null	UTP--glucose-1-phosphate uridylyltransferase	151233	152168	+	
3300049256 assembled Ga0508132_00001_152178_153173	CDS	null	UDP-glucose 4-epimerase	152178	153173	+	
3300049256 assembled Ga0508132_00001_15268_15726	CDS	null	chemotaxis protein CheX	15268	15726	+	
3300049256 assembled Ga0508132_00001_153282_154247	CDS	null	pseudouridine kinase	153282	154247	+	
3300049256 assembled Ga0508132_00001_154281_155723	CDS	null	glucose-6-phosphate isomerase	154281	155723	+	
3300049256 assembled Ga0508132_00001_155912_157021	CDS	null	dTDP-4-amino-4,6-dideoxygalactose transaminase	155912	157021	+	
3300049256 assembled Ga0508132_00001_157477_158154	CDS	null	DNA-binding NarL/FixJ family response regulator	157477	158154	+	
3300049256 assembled Ga0508132_00001_15764_15985	CDS	null	uncharacterized protein YlxW (UPF0749 family)	15764	15985	-	
3300049256 assembled Ga0508132_00001_158250_158663	CDS	null	hypothetical protein	158250	158663	+	
3300049256 assembled Ga0508132_00001_158741_158905	CDS	null	hypothetical protein	158741	158905	+	
3300049256 assembled Ga0508132_00001_159027_160892	CDS	null	ATP-binding cassette subfamily F protein 3	159027	160892	+	
3300049256 assembled Ga0508132_00001_16110_16721	CDS	null	putative Mn2+ efflux pump MntP	16110	16721	+	
3300049256 assembled Ga0508132_00001_161215_163374	CDS	null	exodeoxyribonuclease V alpha subunit	161215	163374	+	
3300049256 assembled Ga0508132_00001_163368_164030	CDS	null	ComF family protein	163368	164030	+	
3300049256 assembled Ga0508132_00001_164039_164623	CDS	null	putative nucleotidyltransferase with HDIG domain	164039	164623	-	
3300049256 assembled Ga0508132_00001_164814_165218	CDS	null	ribosomal protein L32	164814	165218	+	
3300049256 assembled Ga0508132_00001_165360_165659	CDS	null	negative regulator of flagellin synthesis FlgM	165360	165659	+	
3300049256 assembled Ga0508132_00001_165672_166166	CDS	null	flagellar biosynthesis/type III secretory pathway chaperone	165672	166166	+	
3300049256 assembled Ga0508132_00001_166190_166675	CDS	null	ribosomal protein L16 Arg81 hydroxylase	166190	166675	+	
3300049256 assembled Ga0508132_00001_166686_168182	CDS	null	flagellar hook-associated protein 1 FlgK	166686	168182	+	
3300049256 assembled Ga0508132_00001_168196_169149	CDS	null	flagellar hook-associated protein 3 FlgL	168196	169149	+	
3300049256 assembled Ga0508132_00001_16842_17264	CDS	null	protein-tyrosine phosphatase	16842	17264	+	
3300049256 assembled Ga0508132_00001_169176_169709	CDS	null	hypothetical protein	169176	169709	+	
3300049256 assembled Ga0508132_00001_169716_170144	CDS	null	flagellar assembly factor FliW	169716	170144	+	
3300049256 assembled Ga0508132_00001_170146_170415	CDS	null	carbon storage regulator	170146	170415	+	
3300049256 assembled Ga0508132_00001_170585_171397	CDS	null	flagellin	170585	171397	+	
3300049256 assembled Ga0508132_00001_171465_171806	CDS	null	flagellar protein FlaG	171465	171806	+	
3300049256 assembled Ga0508132_00001_171869_174223	CDS	null	flagellar hook-associated protein 2	171869	174223	+	
3300049256 assembled Ga0508132_00001_17225_17740	CDS	null	ribose 5-phosphate isomerase B	17225	17740	+	
3300049256 assembled Ga0508132_00001_174379_174549	CDS	null	DNA-binding IscR family transcriptional regulator	174379	174549	+	
3300049256 assembled Ga0508132_00001_174533_174961	CDS	null	hypothetical protein	174533	174961	+	
3300049256 assembled Ga0508132_00001_174965_176818	CDS	null	hypothetical protein	174965	176818	+	
