Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,Gene Symbol,GenBank Accession,Chromosome,Start Coord,End Coord,Strand,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Locus Type,Is Pseudogene,Is Partial Gene,Add Date,Is Public,Sequencing Status,Transmembrane Helices,Signal Peptides,Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,Pfam,Tigrfam,SMART,SUPERFam,CATH FunFam,Enzyme,KO,IMG Term,MyIMG (self),MyIMG (group),MyIMG (public)
3300049256 assembled Ga0508132_50383_2_292,null,poly(3-hydroxyalkanoate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,2,292,#ERROR!,291,96,CDS,,,,No,Draft,,,Ga0508132_50383,,Ga0508132_50383,380,0.68,1,COG0596===Pimeloyl-ACP methyl ester carboxylesterase,,,TIGR02240===poly(3-hydroxyalkanoate) depolymerase,,,53474===alpha/beta-Hydrolases,,,,,
3300049256 assembled Ga0508132_45259_3_395,null,poly(3-hydroxyalkanoate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,3,395,-,393,131,CDS,,,,No,Draft,,,Ga0508132_45259,,Ga0508132_45259,395,0.72,1,COG0596===Pimeloyl-ACP methyl ester carboxylesterase,,,TIGR02240===poly(3-hydroxyalkanoate) depolymerase,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_062451_2_223,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,2,223,-,222,74,CDS,,,,No,Draft,,,Ga0508133_062451,,Ga0508133_062451,285,0.61,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_061214_220_498,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,220,498,#ERROR!,279,93,CDS,,,,No,Draft,,,Ga0508133_061214,,Ga0508133_061214,500,0.6,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_020136_943_2271,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,943,2271,-,1329,442,CDS,,,,No,Draft,,,Ga0508133_020136,,Ga0508133_020136,3735,0.63,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_31097_271_453,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,271,453,#ERROR!,183,61,CDS,,,,No,Draft,,,Ga0508132_31097,,Ga0508132_31097,455,0.66,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,,,,81508===Ubiquinone-binding protein QP-C of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_065555_2_646,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,2,646,-,645,215,CDS,,,,No,Draft,,,Ga0508133_065555,,Ga0508133_065555,1258,0.68,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_055471_3_374,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,3,374,-,372,124,CDS,,,,No,Draft,,,Ga0508133_055471,,Ga0508133_055471,394,0.69,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_25559_220_498,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,220,498,#ERROR!,279,93,CDS,,,,No,Draft,,,Ga0508132_25559,,Ga0508132_25559,500,0.6,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049256 assembled Ga0508132_08645_531_896,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,531,896,-,366,121,CDS,,,,No,Draft,,,Ga0508132_08645,,Ga0508132_08645,898,0.66,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
