Scaffold ID,Scaffold Original ID,Scaffold Name,IMG Genome ID (IMG Taxon ID),Genome Name / Sample Name,Scaffold Topology,NCBI Molecular Type,Scaffold Gene Count,Scaffold Nucleotide Length (bp),Scaffold GC Content,Scaffold Read Depth,Lineage,Lineage Percentage,In MetaBAT Bins,In EukCC Bins
3300049256 assembled Ga0508132_00003,NODE_3_length_526491_cov_17.646672,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,580,526491,0.47,1,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae,79,,
3300049256 assembled Ga0508132_00006,NODE_6_length_280524_cov_7.859446,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,259,280524,0.61,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium,57,,
3300049256 assembled Ga0508132_00011,NODE_11_length_181069_cov_17.595109,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,177,181069,0.46,1,Bacteria; Firmicutes; Negativicutes; Selenomonadales; Sporomusaceae,65,,
3300049256 assembled Ga0508132_00015,NODE_15_length_110733_cov_7.526533,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,116,110733,0.62,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium,78,,
3300049256 assembled Ga0508132_00022,NODE_22_length_97447_cov_7.495204,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,102,97447,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium,83,,
3300049256 assembled Ga0508132_00028,NODE_28_length_88537_cov_7.216686,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,84,88537,0.61,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium,75,,
3300049256 assembled Ga0508132_00033,NODE_33_length_79447_cov_7.723094,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,69,79447,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii,55,,
3300049256 assembled Ga0508132_00075,NODE_75_length_46074_cov_10.495706,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,47,46074,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,70,,
3300049256 assembled Ga0508132_00127,NODE_127_length_34380_cov_10.313588,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,35,34380,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,77,,
3300049256 assembled Ga0508132_00162,NODE_162_length_28955_cov_6.169472,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,31,28955,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium,77,,
3300049256 assembled Ga0508132_00167,NODE_167_length_28555_cov_11.157033,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,28,28555,0.67,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,79,,
3300049256 assembled Ga0508132_00580,NODE_580_length_11931_cov_476.246162,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,11,11931,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,91,,
3300049256 assembled Ga0508132_00782,NODE_782_length_8889_cov_444.898661,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,9,8889,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049256 assembled Ga0508132_00875,NODE_875_length_8055_cov_6.240411,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,11,8055,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium; Rhizomicrobium sp. SG733,55,,
3300049256 assembled Ga0508132_01496,NODE_1496_length_4333_cov_434.354793,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,5,4333,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,80,,
3300049256 assembled Ga0508132_03257,NODE_3257_length_1894_cov_3.080352,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,3,1894,0.74,1,Bacteria; Acidobacteria; Holophagae; Holophagales; Holophagaceae; Geothrix; Geothrix fermentans,100,,
3300049256 assembled Ga0508132_03972,NODE_3972_length_1601_cov_2.064961,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,1601,0.62,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium selenitireducens,100,,
3300049256 assembled Ga0508132_04080,NODE_4080_length_1566_cov_1.446608,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,2,1566,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium selenitireducens,100,,
3300049256 assembled Ga0508132_08686,NODE_8686_length_896_cov_1.164835,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,896,0.68,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas sp. B29,100,,
3300049256 assembled Ga0508132_09161,NODE_9161_length_865_cov_7.285533,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,2,865,0.67,1,Bacteria,100,,
3300049256 assembled Ga0508132_10612,NODE_10612_length_793_cov_2.128492,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,2,793,0.68,1,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae,100,,
3300049256 assembled Ga0508132_11211,NODE_11211_length_768_cov_169.532562,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,2,768,0.67,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049256 assembled Ga0508132_12100,NODE_12100_length_737_cov_1.730303,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,2,737,0.62,1,Bacteria; Verrucomicrobia; Opitutae; Opitutales; Opitutaceae; unclassified,100,,
3300049256 assembled Ga0508132_14483,NODE_14483_length_667_cov_1.686441,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,2,667,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium selenitireducens,100,,
3300049256 assembled Ga0508132_15152,NODE_15152_length_652_cov_1.332174,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,652,0.58,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Shinella; Shinella sp. HZN7,100,,
3300049256 assembled Ga0508132_17614,NODE_17614_length_603_cov_1.634981,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,603,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium selenitireducens,100,,
3300049256 assembled Ga0508132_24664,NODE_24664_length_509_cov_1.872685,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,2,509,0.7,1,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales,100,,
