Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300049256 assembled Ga0508132_00015_100484_101455	CDS	null	molecular chaperone Hsp33	100484	101455	-	
3300049256 assembled Ga0508132_00015_10103_11158	CDS	null	cysteine synthase A	10103	11158	+	
3300049256 assembled Ga0508132_00015_101455_102417	CDS	null	ornithine carbamoyltransferase	101455	102417	-	
3300049256 assembled Ga0508132_00015_102398_103579	CDS	null	acetylornithine/N-succinyldiaminopimelate aminotransferase	102398	103579	-	
3300049256 assembled Ga0508132_00015_104014_104538	CDS	null	GcrA cell cycle regulator	104014	104538	+	
3300049256 assembled Ga0508132_00015_104703_105413	CDS	null	two-component system phosphate regulon response regulator PhoB	104703	105413	-	
3300049256 assembled Ga0508132_00015_105493_106164	CDS	null	phosphate transport system protein	105493	106164	-	
3300049256 assembled Ga0508132_00015_106365_107198	CDS	null	phosphate transport system ATP-binding protein	106365	107198	-	
3300049256 assembled Ga0508132_00015_107192_108520	CDS	null	phosphate transport system permease protein	107192	108520	-	
3300049256 assembled Ga0508132_00015_108517_109962	CDS	null	phosphate transport system permease protein	108517	109962	-	
3300049256 assembled Ga0508132_00015_109967_110110	CDS	null	hypothetical protein	109967	110110	-	
3300049256 assembled Ga0508132_00015_110286_110732	CDS	null	phosphate transport system substrate-binding protein	110286	110732	-	
3300049256 assembled Ga0508132_00015_11128_11628	CDS	null	cell wall-associated NlpC family hydrolase	11128	11628	-	
3300049256 assembled Ga0508132_00015_11686_12546	CDS	null	thiosulfate/3-mercaptopyruvate sulfurtransferase	11686	12546	+	
3300049256 assembled Ga0508132_00015_12628_13548	CDS	null	collagenase-like PrtC family protease	12628	13548	-	
3300049256 assembled Ga0508132_00015_13548_14540	CDS	null	putative protease	13548	14540	-	
3300049256 assembled Ga0508132_00015_14537_15190	CDS	null	predicted lipid carrier protein YhbT	14537	15190	-	
3300049256 assembled Ga0508132_00015_15369_18533	CDS	null	hydrophobe/amphiphile efflux-1 (HAE1) family protein	15369	18533	-	
3300049256 assembled Ga0508132_00015_161_790	CDS	null	glutathione S-transferase	161	790	-	
3300049256 assembled Ga0508132_00015_1784_3154	CDS	null	glycosyltransferase involved in cell wall biosynthesis	1784	3154	+	
3300049256 assembled Ga0508132_00015_18537_19757	CDS	null	membrane fusion protein (multidrug efflux system)	18537	19757	-	
3300049256 assembled Ga0508132_00015_19914_20714	CDS	null	uncharacterized membrane protein	19914	20714	-	
