Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,Gene Symbol,GenBank Accession,Chromosome,Start Coord,End Coord,Strand,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Locus Type,Is Pseudogene,Is Partial Gene,Add Date,Is Public,Sequencing Status,Transmembrane Helices,Signal Peptides,Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,Pfam,Tigrfam,SMART,SUPERFam,CATH FunFam,Enzyme,KO,IMG Term,MyIMG (self),MyIMG (group),MyIMG (public)
3300049257 assembled Ga0508133_027409_1_411,null,Fe-only nitrogenase accessory protein AnfO,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,1,411,#ERROR!,411,137,CDS,,,,No,Draft,,,Ga0508133_027409,,Ga0508133_027409,413,0.65,1,,pfam09582===Iron only nitrogenase protein AnfO (AnfO_nitrog),TIGR02940===Fe-only nitrogenase accessory protein AnfO,,,,,,,,,
3300049257 assembled Ga0508133_092010_3_278,null,Fe-only nitrogenase accessory protein AnfO,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,3,278,-,276,92,CDS,,,,No,Draft,,,Ga0508133_092010,,Ga0508133_092010,281,0.65,1,,pfam09582===Iron only nitrogenase protein AnfO (AnfO_nitrog),TIGR02940===Fe-only nitrogenase accessory protein AnfO,,69279===Phage tail proteins,,,,,,,
3300049257 assembled Ga0508133_027471_1_195,null,Fe-only nitrogenase accessory protein AnfO,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,1,195,#ERROR!,195,64,CDS,,,,No,Draft,,,Ga0508133_027471,,Ga0508133_027471,1172,0.66,1,,pfam09582===Iron only nitrogenase protein AnfO (AnfO_nitrog),TIGR02940===Fe-only nitrogenase accessory protein AnfO,,,,,,,,,
3300049257 assembled Ga0508133_025105_338558_339190,null,Fe-only nitrogenase accessory protein AnfO,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,338558,339190,-,633,210,CDS,,,,No,Draft,,,Ga0508133_025105,,Ga0508133_025105,475970,0.47,1,,pfam09582===Iron only nitrogenase protein AnfO (AnfO_nitrog),TIGR02940===Fe-only nitrogenase accessory protein AnfO,,53146===Nitrogenase accessory factor-like,3.30.420.130===unclassified,,,,,,
3300049256 assembled Ga0508132_00002_338511_339143,null,Fe-only nitrogenase accessory protein AnfO,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",1,,,,338511,339143,-,633,210,CDS,,,,No,Draft,,,Ga0508132_00002,,Ga0508132_00002,538500,0.47,1,,pfam09582===Iron only nitrogenase protein AnfO (AnfO_nitrog),TIGR02940===Fe-only nitrogenase accessory protein AnfO,,53146===Nitrogenase accessory factor-like,3.30.420.130===unclassified,,,,,,
3300049257 assembled Ga0508133_068354_52642_53403,null,Fe-only nitrogenase accessory protein AnfO,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,52642,53403,#ERROR!,762,253,CDS,,,,No,Draft,,,Ga0508133_068354,,Ga0508133_068354,72662,0.62,1,,pfam09582===Iron only nitrogenase protein AnfO (AnfO_nitrog),TIGR02940===Fe-only nitrogenase accessory protein AnfO,,,,,,,,,
3300049257 assembled Ga0508133_032573_110_775,null,Fe-only nitrogenase accessory protein AnfO,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,110,775,#ERROR!,666,222,CDS,,,,No,Draft,,,Ga0508133_032573,,Ga0508133_032573,777,0.63,1,,pfam09582===Iron only nitrogenase protein AnfO (AnfO_nitrog),TIGR02940===Fe-only nitrogenase accessory protein AnfO,,,,,,,,,
3300049257 assembled Ga0508133_041944_158_796,null,Fe-only nitrogenase accessory protein AnfO,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,158,796,#ERROR!,639,213,CDS,,,,No,Draft,,,Ga0508133_041944,,Ga0508133_041944,796,0.63,1,,pfam09582===Iron only nitrogenase protein AnfO (AnfO_nitrog),TIGR02940===Fe-only nitrogenase accessory protein AnfO,,,,,,,,,
3300049257 assembled Ga0508133_094701_1_687,null,Fe-only nitrogenase accessory protein AnfO,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,1,687,-,687,229,CDS,,,,No,Draft,,,Ga0508133_094701,,Ga0508133_094701,2173,0.63,1,,pfam09582===Iron only nitrogenase protein AnfO (AnfO_nitrog),TIGR02940===Fe-only nitrogenase accessory protein AnfO,,,,,,,,,
3300049257 assembled Ga0508133_013948_2_346,null,Fe-only nitrogenase accessory protein AnfO,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,2,346,#ERROR!,345,115,CDS,,,,No,Draft,,,Ga0508133_013948,,Ga0508133_013948,346,0.65,1,,pfam09582===Iron only nitrogenase protein AnfO (AnfO_nitrog),TIGR02940===Fe-only nitrogenase accessory protein AnfO,,,,,,,,,
